"reg","yr","egy_hh"
"vnm",2007,11.916973
"bgd",2007,9.846344
"ind",2007,121.739991304374
"lka",2007,3.057968
"xsa",2007,52.0923915320217
"can",2007,18.2310031202802
"usa",2007,130.348039868845
"mex",2007,7.01002
"xcm",2007,30.7233588691819
"col",2007,2.85372260790705
"per",2007,2.239342
"ven",2007,1.30454
"xap",2007,0.558626
"arg",2007,7.84965723284299
"bra",2007,10.0655623950522
"chl",2007,3.377178
"ury",2007,0.317811
"xsm",2007,1.90139071812146
"aut",2007,2.59372787105901
"bel",2007,3.719726
"dnk",2007,1.55473144323389
"fin",2007,1.20125714297885
"fra",2007,19.539566281273
"deu",2007,28.3094897663555
"gbr",2007,28.2110179443897
"grc",2007,1.16287014270412
"irl",2007,1.00392437828537
"ita",2007,22.5363243808961
"lux",2007,0.219106062359525
"nld",2007,7.95078314568256
"prt",2007,1.44281088055064
"esp",2007,6.22647770045762
"swe",2007,0.77744176851924
"che",2007,1.38213777177836
"xef",2007,0.674488916124638
"alb",2007,0.192008
"bgr",2007,0.790339
"hrv",2007,1.57007334868013
"cze",2007,3.89685579525774
"hun",2007,4.41552971459377
"mlt",2007,0
"pol",2007,11.8426596215296
"rou",2007,4.78265550310067
"svk",2007,1.20942228342977
"svn",2007,0.414945182970779
"est",2007,0.434204
"lva",2007,0.855931029154722
"ltu",2007,0.758295484880711
"rus",2007,42.678683
"xsu",2007,34.9374
"cyp",2007,0.0527286739783025
"tur",2007,15.2576316150192
"xme",2007,35.53593
"mar",2007,0.946384
"xnf",2007,6.775807
"bwa",2007,0.470001
"xsc",2007,14.192371838366
"mwi",2007,1.8253738605274
"moz",2007,6.102541
"tza",2007,11.528499
"zmb",2007,4.027995
"zwe",2007,5.750821
"xac",2007,17.64336
"uga",2007,6.19822231242166
"xss",2007,166.031023859873
"xtw",2007,267.157035014521
"aus",2011,4.80666050358058
"nzl",2011,0.316246513702087
"chn",2011,189.148296707472
"hkg",2011,0.388035320732162
"jpn",2011,9.63302378866903
"kor",2011,9.11904937363289
"twn",2011,0.858837267135761
"idn",2011,44.590150586215
"mys",2011,0.916881886579553
"phl",2011,3.57927065704192
"sgp",2011,0.049635
"tha",2011,6.74678120337988
"vnm",2011,12.494101
"bgd",2011,10.79727
"ind",2011,146.047570972069
"lka",2011,3.19872
"xsa",2011,56.3866189892333
"can",2011,18.7890570238832
"usa",2011,136.337415736843
"mex",2011,6.969773
"xcm",2011,29.4106953819448
"col",2011,2.67846280271875
"per",2011,2.54152038930937
"ven",2011,0.993601
"xap",2011,0.604672934741746
"arg",2011,8.61503844559472
"bra",2011,10.0549386627655
"chl",2011,3.759475
"ury",2011,0.32059425233859
"xsm",2011,2.44709974585155
"aut",2011,2.89365419329254
"bel",2011,3.82155514801815
"dnk",2011,1.56109089833338
"fin",2011,1.38976259378727
"fra",2011,18.5948153207297
"deu",2011,27.5628776950285
"gbr",2011,25.8325444566467
"grc",2011,1.35384383557857
"irl",2011,0.988099211798195
"ita",2011,23.2451891496199
"lux",2011,0.247380540550748
"nld",2011,8.11203787220707
"prt",2011,1.114185273783
"esp",2011,6.9503712305563
"swe",2011,1.42526212299146
"che",2011,1.58560336520548
"xef",2011,0.766553809029392
"alb",2011,0.175385
"bgr",2011,1.0053797258915
"hrv",2011,1.71268811721366
"cze",2011,4.47260013220199
"hun",2011,5.01776725814418
"mlt",2011,0.00503714672218912
"pol",2011,12.9698989533796
"rou",2011,5.57956750791626
"svk",2011,1.29881228013474
"svn",2011,0.660709392576993
"est",2011,0.423768116585991
"lva",2011,0.759501826678966
"ltu",2011,0.76959243902058
"rus",2011,42.244915
"xsu",2011,39.1077565387494
"cyp",2011,0.0651788671895402
"tur",2011,15.7012938304133
"xme",2011,38.866044
"mar",2011,0.686372
"xnf",2011,7.311637
"bwa",2011,0.503654
"xsc",2011,12.0751222892723
"mwi",2011,2.42538865673882
"moz",2011,6.886482
"tza",2011,13.081857
"zmb",2011,4.50519
"zwe",2011,6.241765
"xac",2011,20.417102
"uga",2011,6.62357221211115
"xss",2011,183.249105242968
"xtw",2011,306.076666509927
"aus",2014,5.06605061717436
"nzl",2014,0.319737784960016
"chn",2014,185.882526882902
"hkg",2014,0.385618508457293
"jpn",2014,9.3835903617888
"kor",2014,8.54035122099954
"twn",2014,0.780575124034369
