"reg","yr","unit","va_pr","va_fp","va_cn"
"xme",1997,"millions",430790.320466627,394399.136460196,431516.612159385
"mar",1997,"millions",30060.7513369538,31553.7462095644,31518.4705783082
"xnf",1997,"millions",146798.158539237,138620.039587071,151504.985550024
"bwa",1997,"millions",4421.64541664589,3077.89975943331,3607.88242963015
"xsc",1997,"millions",118784.672790911,112333.716157349,115561.324557027
"mwi",1997,"millions",2435.12897550085,2311.65531944909,2327.43598143324
"moz",1997,"millions",3188.68856134411,3439.3530311795,3685.57725336793
"tza",1997,"millions",5882.67961783757,6186.11016273171,6743.47904270248
"zmb",1997,"millions",3566.91278312377,3357.14955830993,3503.02630390754
"zwe",1997,"millions",6864.41230083916,6993.00957531972,7602.22477046866
"xac",1997,"millions",11486.7058639718,8313.64050902781,9124.0262905082
"uga",1997,"millions",6297.74934834308,6519.38963420102,6571.59773801646
"xss",1997,"millions",138932.69109935,135597.741148996,144761.702593424
"xtw",1997,"millions",209222.802159379,214786.727642673,218671.974708409
"aus",2014,"millions",646953.493985497,602924.703842671,642838.133991187
"nzl",2014,"millions",87891.0542435538,86509.4106053892,89258.299880807
"chn",2014,"millions",3673594.89953606,3999651.81473842,3811478.20104497
"hkg",2014,"millions",301733.9139561,229508.088309186,226102.438054276
"jpn",2014,"millions",3545888.30058403,3469537.98293069,3358159.98787106
"kor",2014,"millions",912210.801160208,878560.027688482,807093.701697404
"twn",2014,"millions",486051.184927588,410175.295449967,367200.41794587
"idn",2014,"millions",411955.122105256,405378.763350857,416408.826786221
"mys",2014,"millions",188746.772058075,168972.201663872,157907.976021712
"phl",2014,"millions",158096.653198671,165556.590270788,172074.739089275
"sgp",2014,"millions",214031.218247579,195785.888873438,171437.278197492
"tha",2014,"millions",231424.510967665,236546.749413705,216680.709202076
"vnm",2014,"millions",63370.6367976777,96349.268940663,89144.0968285034
"bgd",2014,"millions",119342.866498513,126704.193641455,120682.038682231
"ind",2014,"millions",1220589.38154919,1255194.45051604,1221175.36397118
"lka",2014,"millions",31565.7997750014,35405.3395250982,37945.1677011649
"xsa",2014,"millions",134188.84079562,143634.084197076,153431.155634862
