"yr","reg","col","inv","col.1","egy_p","col.2","mix_shr_p","col.3","p_shr","col.4","egy_fp","col.5","mix_shr_fp","col.6","fp_shr","col.7","egy_c","col.8","mix_shr_c","col.9","c_shr","end"
2014,"jpn","&","Other nr.","&",4.1,"&",1,"&",10.5,"&",3.8,"&",0.7,"&",9.9,"&",3.7,"&",0.7,"&",9.6,"\\"
2014,"jpn","&","Other r.","&",10.3,"&",2.5,"&",0.5,"&",15.7,"&",3.1,"&",0.8,"&",18.2,"&",3.4,"&",1,"\\"
2014,"jpn","&","Hydro","&",7.2,"&",1.7,"&",1.7,"&",9.3,"&",1.8,"&",2.2,"&",10,"&",1.9,"&",2.4,"\\"
2014,"jpn","&","Wind","&",0.4,"&",0.1,"&",0.7,"&",0.8,"&",0.2,"&",1.2,"&",0.9,"&",0.2,"&",1.4,"\\"
2014,"jpn","&","Solar","&",2.3,"&",0.5,"&",4.6,"&",2.2,"&",0.4,"&",4.4,"&",2.1,"&",0.4,"&",4.3,"\\"
2014,"roecd","&","Total Energy","&",990.8,"&",100,"&",6.3,"&",1052.3,"&",100,"&",6.7,"&",1083.8,"&",100,"&",6.9,"\\"
2014,"roecd","&","Fossil Fuels","&",809.7,"&",81.7,"&",6.5,"&",882.2,"&",83.8,"&",7,"&",915.8,"&",84.5,"&",7.3,"\\"
2014,"roecd","&","Nuclear","&",71.2,"&",7.2,"&",10.3,"&",63.4,"&",6,"&",9.2,"&",60.2,"&",5.6,"&",8.7,"\\"
2014,"roecd","&","Other nr.","&",3,"&",0.3,"&",7.7,"&",2.8,"&",0.3,"&",7.3,"&",2.7,"&",0.3,"&",7.1,"\\"
2014,"roecd","&","Other r.","&",54.5,"&",5.5,"&",2.9,"&",56.8,"&",5.4,"&",3,"&",59.2,"&",5.5,"&",3.1,"\\"
2014,"roecd","&","Hydro","&",45.6,"&",4.6,"&",10.8,"&",40.3,"&",3.8,"&",9.6,"&",39,"&",3.6,"&",9.3,"\\"
2014,"roecd","&","Wind","&",4.5,"&",0.5,"&",6.8,"&",4.5,"&",0.4,"&",6.7,"&",4.6,"&",0.4,"&",6.9,"\\"
2014,"roecd","&","Solar","&",2.2,"&",0.2,"&",4.5,"&",2.3,"&",0.2,"&",4.7,"&",2.3,"&",0.2,"&",4.7,"\\"
2014,"efta","&","Total Energy","&",68.6,"&",100,"&",0.4,"&",93.8,"&",100,"&",0.6,"&",110.1,"&",100,"&",0.7,"\\"
2014,"efta","&","Fossil Fuels","&",36.7,"&",53.5,"&",0.3,"&",63.9,"&",68.1,"&",0.5,"&",79.4,"&",72.1,"&",0.6,"\\"
2014,"efta","&","Nuclear","&",7.3,"&",10.6,"&",1.1,"&",8.1,"&",8.6,"&",1.2,"&",8.6,"&",7.8,"&",1.2,"\\"
2014,"efta","&","Other nr.","&",1.1,"&",1.6,"&",2.8,"&",1,"&",1.1,"&",2.6,"&",1,"&",0.9,"&",2.6,"\\"
2014,"efta","&","Other r.","&",7.2,"&",10.5,"&",0.4,"&",8.6,"&",9.2,"&",0.5,"&",9.7,"&",8.8,"&",0.5,"\\"
2014,"efta","&","Hydro","&",16,"&",23.4,"&",3.8,"&",11.5,"&",12.3,"&",2.7,"&",10.7,"&",9.7,"&",2.5,"\\"
2014,"efta","&","Wind","&",0.2,"&",0.3,"&",0.3,"&",0.4,"&",0.5,"&",0.7,"&",0.5,"&",0.5,"&",0.8,"\\"
2014,"efta","&","Solar","&",0.1,"&",0.2,"&",0.3,"&",0.2,"&",0.2,"&",0.4,"&",0.3,"&",0.2,"&",0.5,"\\"
2014,"chn","&","Total Energy","&",2940.1,"&",100,"&",18.7,"&",2984.2,"&",100,"&",19,"&",2788.2,"&",100,"&",17.8,"\\"
2014,"chn","&","Fossil Fuels","&",2658,"&",90.4,"&",21.2,"&",2656.5,"&",89,"&",21.2,"&",2455.9,"&",88.1,"&",19.6,"\\"
2014,"chn","&","Nuclear","&",34.5,"&",1.2,"&",5,"&",43.7,"&",1.5,"&",6.3,"&",42.1,"&",1.5,"&",6.1,"\\"
2014,"chn","&","Other nr.","&",5.6,"&",0.2,"&",14.4,"&",6.1,"&",0.2,"&",15.8,"&",6.2,"&",0.2,"&",16,"\\"
2014,"chn","&","Other r.","&",115.6,"&",3.9,"&",6.1,"&",156.3,"&",5.2,"&",8.2,"&",171.8,"&",6.2,"&",9,"\\"
2014,"chn","&","Hydro","&",90.4,"&",3.1,"&",21.5,"&",86.6,"&",2.9,"&",20.6,"&",78.8,"&",2.8,"&",18.7,"\\"
2014,"chn","&","Wind","&",13.4,"&",0.5,"&",20.1,"&",12.5,"&",0.4,"&",18.8,"&",11.4,"&",0.4,"&",17.1,"\\"
2014,"chn","&","Solar","&",22.5,"&",0.8,"&",45.8,"&",22.4,"&",0.7,"&",45.6,"&",22.1,"&",0.8,"&",45.1,"\\"
