"reg","inv","period","act","int","sup","str","trd","mix","ehh","Total"
"FRA","Fin. Prod.","97-14",0.964104931473534,0.844862408797416,1.30306483155379,0.968016709927272,NA,0.997246537275748,1.0016152533536,1.02627236841376
"GBR","Fin. Prod.","97-14",0.918264350568411,0.784345389133814,1.0874259861808,0.891992130821139,NA,0.998997207542263,0.983952014276591,0.686710986425455
"GRC","Fin. Prod.","97-14",0.988833987146241,0.526138701743171,2.0009269344688,1.29789449296507,NA,1.00666783532799,1.01151141171686,1.37578710045933
"HRV","Fin. Prod.","97-14",0.884433223875244,0.365523751962957,3.65341979598336,0.9270127048452,NA,1.00549925484344,0.998535810768601,1.09928755966208
"HUN","Fin. Prod.","97-14",0.913603946287534,0.562543650104525,1.50096755145433,0.944553489093629,NA,1.00438825623114,1.01045576318091,0.73948775188176
"IRL","Fin. Prod.","97-14",0.977470004016153,0.628124755394634,1.31289428117052,0.976648348993453,NA,1.007941187065,1.00127550964119,0.794522337235785
"ITA","Fin. Prod.","97-14",0.981353134739777,0.878574732014535,1.21530266219605,0.994538168303589,NA,1.00682596288928,1.03166994142216,1.08244318490182
"LTU","Fin. Prod.","97-14",0.884867875019013,0.454274569592967,1.3810682969665,0.999057277013883,NA,0.969917141305953,1.0062693142548,0.541316495325577
"LUX","Fin. Prod.","97-14",0.888297356231888,0.726123475763932,1.006660225308,0.840938410151956,NA,1.03246986577797,1.00730872139683,0.567879152189507
"LVA","Fin. Prod.","97-14",0.835779357359134,0.44606738025696,1.43631308253408,0.936333592220206,NA,0.986630785179093,0.973781936908662,0.48171281890726
"NLD","Fin. Prod.","97-14",0.952046218865508,0.660896441551891,1.12099796557211,0.952927511968027,NA,1.0026734304071,0.972788949918093,0.65559294546274
"POL","Fin. Prod.","97-14",0.875468628242343,0.381378272397707,1.45988857235128,1.07398370082961,NA,1.00648767581566,0.996218038589082,0.524900271405536
"PRT","Fin. Prod.","97-14",0.983921702313256,0.710837427063014,1.25570055771055,0.955961290527638,NA,1.01952824078033,1.00043510595003,0.856338368838194
